timestep_time,vehicle_acceleration,vehicle_angle,vehicle_distance,vehicle_id,vehicle_lane,vehicle_odometer,vehicle_pos,vehicle_posLat,vehicle_signals,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_noise,vehicle_route,vehicle_waiting,hour
0.0,0.0,132.01,5.1,veh0,115561668_0,0.0,5.1,0.0,0,0.0,14.72,veh_passenger,21.883644,43.322169,0.0,2416.07,0.01,0.72,0.01,HBEFA3/PC_G_EU4,0.0,770.63,65.15,!veh0!var#1,0.0,0.0
1.0,-1.28,132.01,18.54,veh0,115561668_0,13.44,18.54,0.0,0,0.0,13.44,veh_passenger,21.883766,43.322087,0.0,0.0,0.0,0.0,0.0,HBEFA3/PC_G_EU4,0.0,0.0,62.09,!veh0!var#1,0.0,0.0
1.0,0.0,179.44,5.1,veh1,-293286427_0,0.0,5.1,0.0,0,0.0,0.0,veh_passenger,21.915058,43.332076,164.78,2624.72,0.81,1.2,0.07,HBEFA3/PC_G_EU4,0.0,837.22,55.94,!veh1!var#1,0.0,0.0
1.0,0.0,350.36,5.1,veh2,185546464#0_0,0.0,5.1,0.0,0,0.0,0.0,veh_passenger,21.901992,43.312092,164.78,2624.72,0.81,1.2,0.07,HBEFA3/PC_G_EU4,0.0,837.22,55.94,!veh2!var#1,0.0,0.0
1.0,0.0,31.94,5.1,veh3,545148174#1_0,0.0,5.1,0.0,0,0.0,0.0,veh_passenger,21.913289,43.322951,164.78,2624.72,0.81,1.2,0.07,HBEFA3/PC_G_EU4,0.0,837.22,55.94,!veh3!var#1,0.0,0.0
1.0,0.0,177.47,5.1,veh4,-875076115_0,0.0,5.1,0.0,0,0.0,0.0,veh_passenger,21.925165,43.328564,164.78,2624.72,0.81,1.2,0.07,HBEFA3/PC_G_EU4,0.0,837.22,55.94,!veh4!var#1,0.0,0.0
2.0,1.18,132.01,33.17,veh0,115561668_0,28.07,33.17,0.0,0,0.0,14.62,veh_passenger,21.883899,43.321998,83.85,6908.72,0.55,2.84,0.13,HBEFA3/PC_G_EU4,0.0,2203.54,68.43,!veh0!var#1,0.0,0.0
2.0,2.2,179.44,7.3,veh1,-293286427_0,2.2,7.3,0.0,0,0.0,2.2,veh_passenger,21.915058,43.332056,148.8,3640.67,0.76,1.62,0.08,HBEFA3/PC_G_EU4,0.0,1161.25,66.47,!veh1!var#1,0.0,0.0
2.0,2.13,335.81,7.23,veh2,185546464#0_0,2.13,7.23,0.0,0,0.0,2.13,veh_passenger,21.901974,43.312106,148.39,3562.06,0.76,1.59,0.08,HBEFA3/PC_G_EU4,0.0,1136.17,66.11,!veh2!var#1,0.0,0.0
2.0,1.55,31.95,6.65,veh3,545148174#1_1,1.55,6.65,0.0,0,0.0,1.55,veh_passenger,21.913266,43.322979,147.53,3068.49,0.74,1.37,0.07,HBEFA3/PC_G_EU4,0.0,978.75,63.35,!veh3!var#1,0.0,0.0
